"ID","step","angle","time","max_dep","distance_km","exposure","dtoshore","noland"
1,2.73628012566572,NA,"2017-08-10 00:03:00",54,24.543151431276,0.0407445638267005,0.74969094769097,0
1,2.88451102872489,-0.521733787416563,"2017-08-10 00:33:00",39,23.0273358529459,0.0434266476324516,1.05442211398165,0
1,1.55343042174533,0.462583078196397,"2017-08-10 01:03:00",113,20.4536582381857,0.0488910095375048,2.10799046603062,0
1,1.45218220607756,0.909144127644571,"2017-08-10 01:33:00",65,16.4462215601258,0.0608042398276161,1.35174241643595,0
1,1.3101752350296,1.37590070861297,"2017-08-10 02:03:00",47.5,11.1816305291067,0.0894323951589098,0.543061213863009,1
1,0.442526785422316,0.325476103246373,"2017-08-10 02:33:00",40.5,5.5032779160332,0.181709885500532,1.33802689090812,1
1,0.66444585195358,1.11894361914101,"2017-08-10 03:03:00",NA,3.53577561002163,0.282823377469331,1.65287128279592,1
1,1.05582119568525,-1.11578519816683,"2017-08-10 03:33:00",20,9.97487299257997,0.100251903031134,2.27615081621242,1
1,1.44162883959061,0.409283556066022,"2017-08-10 04:03:00",24,15.8507122931725,0.0630886474692205,3.02948070570884,1
1,1.23885635994251,-0.554955315922775,"2017-08-10 04:33:00",29,21.9430597647981,0.045572495846921,2.70785854049504,0
1,1.20344186659979,-0.192287165450246,"2017-08-10 05:03:00",28.5,27.8054158396558,0.035964216675149,3.07522016660261,0
1,1.8855230646431,0.989067041396184,"2017-08-10 05:33:00",7,34.4115374347022,0.0290600209856231,3.47485557421882,0
1,2.20765250042792,-0.32396992428202,"2017-08-10 06:03:00",10.5,40.5356630119754,0.0246696347289194,3.30601620878025,0
1,2.16806862467257,-0.137374593713407,"2017-08-10 06:33:00",12,41.7686265261073,0.0239414144818708,2.27558349868852,0
1,2.63699304643055,-0.0734447178617771,"2017-08-10 07:03:00",17,39.8823165733289,0.0250737691769075,1.5052896467591,0
1,2.54506893884393,0.119551989985386,"2017-08-10 07:33:00",7.5,37.5377855861823,0.0266398239636198,0.913613607488966,0
1,2.89422452324291,-0.00986384560844378,"2017-08-10 08:03:00",10,55.9692379927299,0.0178669575621146,1.47046446095418,0
1,2.04255565974478,-0.524092449975801,"2017-08-10 08:33:00",25.5,33.165092831196,0.030152184560128,3.82326619807353,1
1,0.668878639931241,-1.75434575766768,"2017-08-10 09:03:00",NA,31.1487682186422,0.0321039982377701,5.20127115154472,1
1,1.22423191248657,-0.292108602875284,"2017-08-10 09:33:00",22,31.1732536492089,0.0320787817419686,4.68617149599982,1
1,1.6056513384642,0.548119566667922,"2017-08-10 10:03:00",35.5,25.0415862216189,0.0399335725440859,3.61956727118371,1
1,0.72428708647592,0.715638336929353,"2017-08-10 10:33:00",110,31.369659111806,0.0318779364619761,3.05931562332903,0
1,1.55845622130928,0.43547808337697,"2017-08-10 11:03:00",95.5,30.8355375587714,0.0324301140557072,3.41287800849536,0
1,2.10202544421793,0.330033111389555,"2017-08-10 11:33:00",81.5,25.3624789768008,0.0394283224804131,2.66879537608626,1
1,2.13786470922398,0.11857593120866,"2017-08-10 12:03:00",63,22.5724222197306,0.0443018471950209,1.13721332589501,1
1,0.785797516241616,-0.770383265907517,"2017-08-10 12:33:00",88,24.5374878178674,0.0407539682718388,0.659958412811186,1
1,1.49363131161572,0.718441558323592,"2017-08-10 13:03:00",56,23.5780594006672,0.0424123115056578,0.0607822271648623,0
1,1.82654313507982,0.69592587720917,"2017-08-10 13:33:00",134,24.1956204163173,0.0413297936896716,0,0
1,2.52593861052045,0.289090348916412,"2017-08-10 14:03:00",134,26.7668356031194,0.0373596645799797,1.39278976101912,0
1,2.28174390788502,-0.604770138391939,"2017-08-10 14:33:00",62.5,25.1762334870564,0.0397200002341144,3.8761601785712,1
1,2.27878710702272,-0.541791046250783,"2017-08-10 15:03:00",68.5,16.8308514659072,0.059414700559007,5.58512184430534,1
1,2.02138646977289,0.390134983178683,"2017-08-10 15:33:00",39.5,12.857420815724,0.0777760963362923,5.31388580012484,1
1,1.85797059222227,-0.160500259573599,"2017-08-10 16:03:00",71,11.8346943660991,0.0844973236372318,6.01231993796147,1
1,2.92206489122139,-0.155663635495127,"2017-08-10 16:33:00",23,10.0833440393455,0.0991734484212748,6.40413717238782,1
1,1.61464429731511,-0.319875840197482,"2017-08-10 17:03:00",359,58.2069594884446,0.0171800762106209,6.57272968294421,0
1,1.35979571371606,-0.734867066881446,"2017-08-10 17:33:00",359,64.2159475029198,0.0155724557354625,6.15751677359004,0
1,2.35809791641632,1.91576280742315,"2017-08-10 18:03:00",NA,64.0087741582645,0.0156228581651549,5.08194272278387,0
1,NA,NA,"2017-08-10 18:33:00",515.5,64.9631953892364,0.0153933314703557,7.23580937439086,0
2,2.69843328485472,NA,"2017-09-24 02:31:00",NA,32.336050263125,0.0309252364423854,7.8053627471382,1
2,0.467533813313889,2.65439627587412,"2017-09-24 03:01:00",NA,421.877826146231,0.00237035449133414,7.00177994804323,0
2,3.50457619984518,0.36623029917644,"2017-09-24 03:31:00",142,35.7221715670981,0.0279938188562156,7.32249741247578,1
2,3.30434585561028,-0.504847700466365,"2017-09-24 04:01:00",142,32.9453573662559,0.030353290416095,8.90466246123341,1
2,3.82950463831353,-0.818598266370145,"2017-09-24 04:31:00",23,31.6381389734185,0.0316074216893785,11.9689032295048,1
2,3.94967932273159,-0.484813427917898,"2017-09-24 05:01:00",NA,33.5125816470742,0.0298395393864652,10.7497258606127,1
2,2.61486098137708,-1.47745710140686,"2017-09-24 05:31:00",NA,37.1977504338222,0.0268833461254352,7.76149843566566,1
